year,sex,level_of_school,length_of_service,no_of_teachers
1995,F,PRE-UNIVERSITY,25 - 29 YEARS,44
1995,MF,PRIMARY,30 YEARS & ABOVE,4084
1995,F,PRIMARY,30 YEARS & ABOVE,2603
1995,MF,SECONDARY,30 YEARS & ABOVE,1521
1995,F,SECONDARY,30 YEARS & ABOVE,555
1995,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,86
1995,F,PRE-UNIVERSITY,30 YEARS & ABOVE,24
1996,MF,PRIMARY,0 - 4 YEARS,2223
1996,F,PRIMARY,0 - 4 YEARS,1947
1996,MF,SECONDARY,0 - 4 YEARS,2205
1996,F,SECONDARY,0 - 4 YEARS,1480
1996,MF,PRE-UNIVERSITY,0 - 4 YEARS,426
1996,F,PRE-UNIVERSITY,0 - 4 YEARS,233
1996,MF,PRIMARY,5 - 9 YEARS,976
1996,F,PRIMARY,5 - 9 YEARS,890
1996,MF,SECONDARY,5 - 9 YEARS,1076
1996,F,SECONDARY,5 - 9 YEARS,850
1996,MF,PRE-UNIVERSITY,5 - 9 YEARS,311
1996,F,PRE-UNIVERSITY,5 - 9 YEARS,205
1996,MF,PRIMARY,10 - 14 YEARS,476
1996,F,PRIMARY,10 - 14 YEARS,410
1996,MF,SECONDARY,10 - 14 YEARS,1176
1996,F,SECONDARY,10 - 14 YEARS,932
1996,MF,PRE-UNIVERSITY,10 - 14 YEARS,322
1996,F,PRE-UNIVERSITY,10 - 14 YEARS,217
1996,MF,PRIMARY,15 - 19 YEARS,709
1996,F,PRIMARY,15 - 19 YEARS,656
1996,MF,SECONDARY,15 - 19 YEARS,900
1996,F,SECONDARY,15 - 19 YEARS,693
1996,MF,PRE-UNIVERSITY,15 - 19 YEARS,230
1996,F,PRE-UNIVERSITY,15 - 19 YEARS,160
1996,MF,PRIMARY,20 - 24 YEARS,733
1996,F,PRIMARY,20 - 24 YEARS,631
1996,MF,SECONDARY,20 - 24 YEARS,642
1996,F,SECONDARY,20 - 24 YEARS,453
1996,MF,PRE-UNIVERSITY,20 - 24 YEARS,102
1996,F,PRE-UNIVERSITY,20 - 24 YEARS,69
1996,MF,PRIMARY,25 - 29 YEARS,928
1996,F,PRIMARY,25 - 29 YEARS,651
1996,MF,SECONDARY,25 - 29 YEARS,986
1996,F,SECONDARY,25 - 29 YEARS,494
